text,category
"Mandatory Condition: Prepayment shall only be accepted in multiples of Rs. 50,000 and will be adjusted first towards overdue charges and then principal.",Prepayment
"Special Covenant: The borrower shall indemnify the Bank for all recovery agency costs, legal counsel fees, and litigation expenses incurred.",Penalty
General Obligation: Overdue monthly balances shall attract late payment charges at the rate of 18.0% per month until the default is fully cured.,Late Fee
"A moratorium on principal repayment of 12 months is granted, during which only monthly interest is payable.",Loan Tenure
Terms and Conditions: The borrower must be an Indian citizen aged between 21 and 60 years at the time of loan maturity to satisfy eligibility criteria.,Eligibility
Mandatory Condition: The total fixed obligation to income ratio (FOIR) of the borrower including all existing debts must not exceed 40%.,Eligibility
Terms and Conditions: A foreclosure charge of 3.5% shall be levied on the outstanding principal balance if the loan is closed prematurely.,Foreclosure
Mandatory Condition: A dishonor penalty of Rs. 450 shall be charged for every cheque or NACH debit returned unpaid due to insufficient funds.,Penalty
Breach of any financial covenant or negative pledge shall attract a liquidated damages penalty of 3.0% per annum.,Penalty
Borrower Undertaking: The borrower shall execute demand promissory notes and a deed of hypothecation in respect of all financed movable assets.,Documentation
"Terms and Conditions: A late collection fee of INR 1,000 shall apply per overdue installment in addition to penal interest at 3.0% p.a.",Late Fee
Special Covenant: The borrower may prepay up to 25% of principal annually; prepayments exceeding this threshold shall attract a 1.5% fee.,Prepayment
"Special Covenant: The Borrower shall submit certified copies of PAN Card, Aadhaar Card, utility bills, and 6 months bank account statements.",Documentation
"General Obligation: In case of default in payment of any monthly installment on the due date, a late payment fee of Rs. 350 plus 28.0% p.a. will be levied.",Late Fee
"General Obligation: A document retrieval and duplicate statement issuance fee of Rs. 2,500 plus taxes shall apply to each physical service request.",Hidden Charges
"Terms and Conditions: An annual administrative account maintenance charge of Rs. 1,500 shall be debited every year on the anniversary date.",Hidden Charges
"Borrower Undertaking: In the event of partial prepayment, the borrower may choose to reduce the monthly EMI from Rs. 68,200 or reduce the tenure.",EMI
Clause 2: Individual borrowers servicing floating interest rate advances may make prepayments without any prepayment penalty or lock-in fee.,Prepayment
"Terms and Conditions: Prepayment shall only be accepted in multiples of Rs. 1,00,000 and will be adjusted first towards overdue charges and then principal.",Prepayment
Terms and Conditions: The provisions of this agreement are severable; invalidity of any clause shall not impair the validity of remaining clauses.,Other
"Borrower Undertaking: Loan eligibility is determined on the basis of verified cash flows, repayment capacity, and existing debt commitments.",Eligibility
Special Covenant: Any dispute arising out of or in connection with this agreement shall be resolved through binding arbitration in Mumbai.,Other
"The Borrower shall pay an upfront loan processing charge of INR 4,500 plus applicable Goods and Services Tax (GST).",Processing Fee
Special Covenant: All statutory levies and stamp duties payable on this agreement shall be deposited with the competent treasury authority.,Tax
"Special Covenant: The Lender shall report payment performance, defaults, and overdue status to all statutory Credit Information Companies monthly.",Credit Score
Important Stipulation: The maximum tenure permitted under this home finance agreement is 48 months subject to age retirement limits.,Loan Tenure
Section 39.8: The borrower must be an Indian citizen aged between 21 and 60 years at the time of loan maturity to satisfy eligibility criteria.,Eligibility
Section 39.2: The duration of this credit facility is strictly restricted to 5 years from the execution date of this loan deed.,Loan Tenure
Section 43.7: A certified salary slip stamped by the employer along with Form 16 must be provided prior to final disbursement release.,Documentation
Section 18.4: Periodic automated credit score reviews will be conducted by the bank to assess ongoing risk and exposure health.,Credit Score
"Mandatory Condition: A dishonor penalty of Rs. 1,000 shall be charged for every cheque or NACH debit returned unpaid due to insufficient funds.",Penalty
Important Stipulation: The maturity date of the loan facility shall fall exactly 10 years following the initial drawdown timestamp.,Loan Tenure
General Obligation: A penal interest rate of 30.0% per annum shall be charged on all overdue EMI payments for the exact period of delay.,Late Fee
Terms and Conditions: Early closure and foreclosure of this commercial loan facility will attract a foreclosure compensation levy of 2.0%.,Foreclosure
General Obligation: The borrower shall execute demand promissory notes and a deed of hypothecation in respect of all financed movable assets.,Documentation
Terms and Conditions: No foreclosure charges shall be applicable on floating-rate individual term loans as per Reserve Bank of India consumer guidelines.,Foreclosure
General Obligation: The Borrower may claim tax deductions on principal repayments under Section 80C and interest payments under Section 24(b) of the IT Act.,Tax
Mandatory Condition: Failure to renew mandatory collateral insurance shall entitle the Bank to purchase insurance on the borrower's behalf and debit the costs.,Insurance
Borrower Undertaking: All statutory levies and stamp duties payable on this agreement shall be deposited with the competent treasury authority.,Tax
"The Lender shall report payment performance, defaults, and overdue status to all statutory Credit Information Companies monthly.",Credit Score
Mandatory Condition: Individual borrowers servicing floating interest rate advances may make prepayments without any prepayment penalty or lock-in fee.,Prepayment
Terms and Conditions: The Borrower's credit score must be at least 650 as reported by CIBIL or Experian at the time of formal underwriting.,Credit Score
Borrower Undertaking: A dishonor penalty of Rs. 500 shall be charged for every cheque or NACH debit returned unpaid due to insufficient funds.,Penalty
Borrower Undertaking: The provisions of this agreement are severable; invalidity of any clause shall not impair the validity of remaining clauses.,Other
Borrower Undertaking: A pre-closure penalty of 3.0% will be debited to the settlement statement if closed using third-party balance transfer funds.,Foreclosure
Terms and Conditions: The Borrower agrees to pay interest on the loan facility at a floating rate of 10.75% per annum linked to the Bank's 1-year MCLR.,Interest Rate
"Special Covenant: The Borrower confirms that the monthly EMI commitment of Rs. 28,450 does not exceed 50% of verified net monthly disposable income.",EMI
A late collection fee of INR 750 shall apply per overdue installment in addition to penal interest at 18.0% p.a.,Late Fee
"Borrower Undertaking: An inspection and collateral re-valuation fee of Rs. 1,500 will be charged to the loan account every 3 years.",Hidden Charges
General Obligation: No foreclosure charges shall be applicable on floating-rate individual term loans as per Reserve Bank of India consumer guidelines.,Foreclosure
General Obligation: A statement of account fee of Rs. 500 and interest certificate generation fee of Rs. 250 shall be levied.,Hidden Charges
Terms and Conditions: The borrower explicitly authorizes the lender to obtain comprehensive credit bureau reports throughout the currency of the loan.,Credit Score
Special Covenant: The borrower shall execute demand promissory notes and a deed of hypothecation in respect of all financed movable assets.,Documentation
"Borrower Undertaking: A loan account reactivation fee of Rs. 3,500 will be applied if the loan account falls into inoperative dormant status.",Hidden Charges
Special Covenant: The Borrower shall inform the Bank in writing within 14 calendar days of any change in residential address or employment.,Other
"Mandatory Condition: Loan eligibility is determined on the basis of verified cash flows, repayment capacity, and existing debt commitments.",Eligibility
Clause 20: Failure to renew mandatory collateral insurance shall entitle the Bank to purchase insurance on the borrower's behalf and debit the costs.,Insurance
General Obligation: Overdue monthly balances shall attract late payment charges at the rate of 2.0% per month until the default is fully cured.,Late Fee
"Borrower Undertaking: The processing fee of Rs. 10,000 covers comprehensive documentation verification, credit appraisal, and legal title scrutiny.",Processing Fee
Terms and Conditions: The current applicable rate of interest is 18.00% p.a. comprising the benchmark repo rate of 6.50% plus a credit spread of 3.10%.,Interest Rate
Borrower Undertaking: The Borrower shall execute an irrevocable power of attorney in favor of the Bank authorizing enforcement upon default.,Documentation
"General Obligation: The Borrower shall pay an upfront loan processing charge of INR 2,999 plus applicable Goods and Services Tax (GST).",Processing Fee
Section 1.4: Any request for tenure extension beyond the contracted 24 months shall be subject to fresh credit underwriting.,Loan Tenure
Clause 27: The borrower may prepay up to 25% of principal annually; prepayments exceeding this threshold shall attract a 2.0% fee.,Prepayment
"Mandatory Condition: The Borrower shall submit certified copies of PAN Card, Aadhaar Card, utility bills, and 6 months bank account statements.",Documentation
"Special Covenant: The Borrower shall submit certified copies of PAN Card, Aadhaar Card, utility bills, and 6 months bank account statements.",Documentation
General Obligation: The Borrower's credit score must be at least 780 as reported by CIBIL or Experian at the time of formal underwriting.,Credit Score
Special Covenant: No waiver by the Bank of any default by the Borrower shall operate as a waiver of any subsequent breach or default.,Other
Mandatory Condition: The borrower may prepay up to 25% of principal annually; prepayments exceeding this threshold shall attract a 2.5% fee.,Prepayment
"Section 15.4: In the event of partial prepayment, the borrower may choose to reduce the monthly EMI from Rs. 68,200 or reduce the tenure.",EMI
Special Covenant: The Borrower agrees to pay interest on the loan facility at a floating rate of 12.00% per annum linked to the Bank's 1-year MCLR.,Interest Rate
General Obligation: Partial prepayment is permitted up to 15% of the outstanding balance once in a financial year without any prepayment penalty.,Prepayment
Important Stipulation: A physical ECS/NACH mandate registration swap fee of Rs. 250 shall be charged for changing the repayment bank account.,Hidden Charges
Special Covenant: Individual borrowers servicing floating interest rate advances may make prepayments without any prepayment penalty or lock-in fee.,Prepayment
Terms and Conditions: Persistent payment delay exceeding 30 calendar days shall attract default penal interest of 2.0% above regular interest rates.,Late Fee
"Terms and Conditions: In the event of permanent disability or death of the borrower, insurance proceeds shall be applied directly to liquidate outstanding debt.",Insurance
Borrower Undertaking: Breach of any financial covenant or negative pledge shall attract a liquidated damages penalty of 36.0% per annum.,Penalty
General Obligation: Partial prepayment is permitted up to 15% of the outstanding balance once in a financial year without any prepayment penalty.,Prepayment
"Important Stipulation: Monthly EMI payments of INR 4,500 must be serviced through an active National Automated Clearing House (NACH) mandate.",EMI
"Borrower Undertaking: A moratorium on principal repayment of 84 months is granted, during which only monthly interest is payable.",Loan Tenure
General Obligation: The provisions of this agreement are severable; invalidity of any clause shall not impair the validity of remaining clauses.,Other
"General Obligation: A statement of account fee of Rs. 2,500 and interest certificate generation fee of Rs. 450 shall be levied.",Hidden Charges
Mandatory Condition: A reduction in the borrower's credit score below 700 grants the Lender the right to demand additional collateral security.,Credit Score
Clause 27: The Borrower's credit score must be at least 650 as reported by CIBIL or Experian at the time of formal underwriting.,Credit Score
Clause 41: A pre-closure penalty of 3.0% will be debited to the settlement statement if closed using third-party balance transfer funds.,Foreclosure
"Upon full foreclosure, the lender shall release original title deeds within 30 working days from settlement of all dues.",Foreclosure
"The rate of interest chargeable shall be 10.75% p.a., subject to revision following Reserve Bank of India policy revisions.",Interest Rate
Section 10.9: Tax deducted at source (TDS) if applicable must be deposited by the borrower and statutory TDS certificates submitted to the Lender.,Tax
General Obligation: Partial prepayment is permitted up to 10% of the outstanding balance once in a financial year without any prepayment penalty.,Prepayment
"Any representation or warranty proving to be false or misleading will incur an immediate breach penalty of Rs. 10,000.",Penalty
Important Stipulation: Tax deducted at source (TDS) if applicable must be deposited by the borrower and statutory TDS certificates submitted to the Lender.,Tax
Terms and Conditions: The Borrower's credit score must be at least 700 as reported by CIBIL or Experian at the time of formal underwriting.,Credit Score
Section 36.1: No waiver by the Bank of any default by the Borrower shall operate as a waiver of any subsequent breach or default.,Other
General Obligation: All statutory levies and stamp duties payable on this agreement shall be deposited with the competent treasury authority.,Tax
"Clause 41: A mandatory group loan protection insurance premium of INR 35,000 shall be debited and added to the principal balance.",Insurance
The Borrower must provide a minimum 15 days written notice requesting full loan foreclosure and payoff quotation calculation.,Foreclosure
"Special Covenant: Upon full foreclosure, the lender shall release original title deeds within 30 working days from settlement of all dues.",Foreclosure
"Special Covenant: Repayment shall be made by way of Equated Monthly Installments of INR 4,500 commencing from the month immediately following disbursement.",EMI
Terms and Conditions: A physical ECS/NACH mandate registration swap fee of Rs. 150 shall be charged for changing the repayment bank account.,Hidden Charges
General Obligation: The borrower may prepay up to 25% of principal annually; prepayments exceeding this threshold shall attract a 1.5% fee.,Prepayment
A ECS mandate bounce charge of INR 650 shall be automatically levied upon each debit rejection by the clearing house.,Penalty
"Special Covenant: Failure to maintain sufficient funds for the monthly installment of INR 16,800 will trigger immediate electronic presentation dishonor.",EMI
Special Covenant: Individual borrowers servicing floating interest rate advances may make prepayments without any prepayment penalty or lock-in fee.,Prepayment
Borrower Undertaking: Any partial prepayment made within the lock-in period of 12 months shall attract a prepayment fee of 1.5%.,Prepayment
"Special Covenant: A late collection fee of INR 1,200 shall apply per overdue installment in addition to penal interest at 2.0% p.a.",Late Fee
Clause 18: An inspection and collateral re-valuation fee of Rs. 750 will be charged to the loan account every 3 years.,Hidden Charges
"General Obligation: The equated monthly installment (EMI) payable by the Borrower is fixed at INR 55,000 due on the 10th of every calendar month.",EMI
"Section 11.8: The borrower shall indemnify the Bank for all recovery agency costs, legal counsel fees, and litigation expenses incurred.",Penalty
Clause 2: A CIBIL credit report pull fee of Rs. 250 will be deducted from the customer's savings account during annual monitoring.,Hidden Charges
Section 45.7: A foreclosure charge of 5.0% shall be levied on the outstanding principal balance if the loan is closed prematurely.,Foreclosure
"Borrower Undertaking: The Borrower shall submit certified copies of PAN Card, Aadhaar Card, utility bills, and 6 months bank account statements.",Documentation
Important Stipulation: The Borrower shall execute an irrevocable power of attorney in favor of the Bank authorizing enforcement upon default.,Documentation
Section 35.7: The Borrower shall inform the Bank in writing within 14 calendar days of any change in residential address or employment.,Other
"Important Stipulation: The Borrower shall submit certified copies of PAN Card, Aadhaar Card, utility bills, and 6 months bank account statements.",Documentation
"Mandatory Condition: Prepayment shall only be accepted in multiples of Rs. 1,00,000 and will be adjusted first towards overdue charges and then principal.",Prepayment
Terms and Conditions: A document retrieval and duplicate statement issuance fee of Rs. 750 plus taxes shall apply to each physical service request.,Hidden Charges
Overdue monthly balances shall attract late payment charges at the rate of 30.0% per month until the default is fully cured.,Late Fee
Section 11.4: The maximum tenure permitted under this home finance agreement is 120 months subject to age retirement limits.,Loan Tenure
Borrower Undertaking: The borrower must be an Indian citizen aged between 21 and 60 years at the time of loan maturity to satisfy eligibility criteria.,Eligibility
General Obligation: Self-employed applicants must show audited financial accounts reflecting net profits for at least 4 consecutive assessment years.,Eligibility
"Special Covenant: The calculated EMI for this personal credit facility is fixed at Rs. 68,200 payable on the 10th of every repayment cycle.",EMI
A late collection fee of INR 500 shall apply per overdue installment in addition to penal interest at 2.0% p.a.,Late Fee
"Terms and Conditions: The borrower covenants to pay 180 consecutive equated monthly installments of INR 55,000 without default.",EMI
"Section 18.9: The Lender shall report payment performance, defaults, and overdue status to all statutory Credit Information Companies monthly.",Credit Score
Borrower Undertaking: Any dispute arising out of or in connection with this agreement shall be resolved through binding arbitration in Mumbai.,Other
Clause 29: A physical ECS/NACH mandate registration swap fee of Rs. 150 shall be charged for changing the repayment bank account.,Hidden Charges
Important Stipulation: The maximum tenure permitted under this home finance agreement is 240 months subject to age retirement limits.,Loan Tenure
"General Obligation: The borrower shall indemnify the Bank for all recovery agency costs, legal counsel fees, and litigation expenses incurred.",Penalty
"Terms and Conditions: An annual administrative account maintenance charge of Rs. 1,200 shall be debited every year on the anniversary date.",Hidden Charges
Special Covenant: Partial prepayment is permitted up to 15% of the outstanding balance once in a financial year without any prepayment penalty.,Prepayment
"Terms and Conditions: The rate of interest chargeable shall be 11.50% p.a., subject to revision following Reserve Bank of India policy revisions.",Interest Rate
A reduction in the borrower's credit score below 700 grants the Lender the right to demand additional collateral security.,Credit Score
"Borrower Undertaking: The borrower covenants to pay 36 consecutive equated monthly installments of INR 42,800 without default.",EMI
"Borrower Undertaking: Prepayment shall only be accepted in multiples of Rs. 10,000 and will be adjusted first towards overdue charges and then principal.",Prepayment
Borrower Undertaking: The borrower explicitly authorizes the lender to obtain comprehensive credit bureau reports throughout the currency of the loan.,Credit Score
"Terms and Conditions: Loan eligibility is determined on the basis of verified cash flows, repayment capacity, and existing debt commitments.",Eligibility
General Obligation: The maturity date of the loan facility shall fall exactly 1 years following the initial drawdown timestamp.,Loan Tenure
Terms and Conditions: Original registered title deeds of the mortgaged property must be deposited with the Bank to create an equitable mortgage.,Documentation
"Section 2.4: Each monthly EMI of Rs. 28,450 shall be deducted automatically via electronic standing instruction from the designated bank account.",EMI
Terms and Conditions: A physical ECS/NACH mandate registration swap fee of Rs. 150 shall be charged for changing the repayment bank account.,Hidden Charges
General Obligation: The total tenure of the loan facility is sanctioned for a period of 300 months (25 years) from the disbursement date.,Loan Tenure
"Important Stipulation: In case of default in payment of any monthly installment on the due date, a late payment fee of Rs. 750 plus 24.0% p.a. will be levied.",Late Fee
Any partial prepayment made within the lock-in period of 18 months shall attract a prepayment fee of 1.5%.,Prepayment
"Section 32.9: The borrower covenants to pay 240 consecutive equated monthly installments of INR 28,450 without default.",EMI
Terms and Conditions: The Borrower may request an adjustment of the remaining 240 months tenure subject to Bank loan servicing policies.,Loan Tenure
"Borrower Undertaking: A mandatory group loan protection insurance premium of INR 52,000 shall be debited and added to the principal balance.",Insurance
Special Covenant: Differential interest rate of 18.00% shall be levied during the construction period until final disbursement.,Interest Rate
All statutory levies and stamp duties payable on this agreement shall be deposited with the competent treasury authority.,Tax
