profile_type,income,expenses,savings,loan_emi,income_variability,savings_rate,expense_ratio,debt_to_income,runway_months,financial_goal,goal_amount,goal_months,risk_level,recommendation_category
Self-employed person,31478.0,17526,166958,11032,19.87,9.3,55.7,35.0,11.1,Debt Repayment,100000,24,Low,Stable Income
Gig worker,23803.0,17699,183592,0,15.16,25.6,74.4,0.0,14.8,Child Education,100000,36,Low,Stable Income
Commission-based worker,76060.0,16968,52593,11686,46.51,62.3,22.3,15.4,3.7,Debt Repayment,500000,18,Medium,Highly Variable Income
Commission-based worker,52232.0,23011,27150,18142,53.53,21.2,44.1,34.7,1.5,Retirement Reserve,100000,24,High,Highly Variable Income
Online seller,46102.0,38463,44203,0,65.69,16.6,83.4,0.0,1.6,Business Expansion,150000,24,High,Highly Variable Income
Online seller,73072.0,33516,288769,0,36.13,54.1,45.9,0.0,11.7,Child Education,75000,18,Low,Moderately Variable Income
Gig worker,23042.0,21412,9590,0,44.89,7.1,92.9,0.0,0.6,Business Expansion,100000,36,High,Financial Risk
Daily wage worker,12252.0,10715,103728,1069,49.78,3.8,87.5,8.7,11.8,Working Capital Buffer,150000,12,Medium,Highly Variable Income
Freelancer,20894.0,22108,12408,6231,74.19,0.0,105.8,29.8,0.7,Business Expansion,500000,24,High,Financial Risk
Seasonal business owner,45612.0,38600,364642,10431,112.22,0.0,84.6,22.9,14.1,Child Education,100000,24,High,Financial Risk
Seasonal business owner,37761.0,26195,11481,0,58.18,30.6,69.4,0.0,0.5,Home Downpayment,150000,6,High,Financial Risk
Online seller,65916.0,35804,70720,0,28.62,45.7,54.3,0.0,2.9,Business Expansion,75000,6,Medium,Moderately Variable Income
Online seller,42255.0,24147,10977,15746,36.44,5.6,57.1,37.3,0.6,Emergency Fund,500000,24,High,Financial Risk
Consultant,52859.0,36148,42689,12631,22.18,7.7,68.4,23.9,1.7,Home Downpayment,30000,12,Medium,Moderately Variable Income
Seasonal business owner,47888.0,25177,255681,0,46.27,47.4,52.6,0.0,12.4,Child Education,150000,18,Medium,Highly Variable Income
Seasonal business owner,71464.0,26857,158526,26258,72.78,25.7,37.6,36.7,8.3,Debt Repayment,100000,12,Medium,Highly Variable Income
Seasonal business owner,114948.0,35530,193313,0,61.58,69.1,30.9,0.0,7.8,Home Downpayment,75000,12,Medium,Highly Variable Income
Seasonal business owner,90419.0,25066,46005,28822,34.02,40.4,27.7,31.9,2.3,Business Expansion,75000,6,High,Highly Variable Income
Self-employed person,61198.0,22291,221201,8923,34.37,49.0,36.4,14.6,11.6,Retirement Reserve,30000,36,Low,Moderately Variable Income
Small business owner,33501.0,21474,22321,10885,31.91,3.4,64.1,32.5,1.2,Working Capital Buffer,75000,24,Medium,Moderately Variable Income
Freelancer,28823.0,17954,8494,4934,80.69,20.6,62.3,17.1,0.7,Business Expansion,500000,12,High,Financial Risk
Gig worker,19317.0,20224,186743,2345,61.0,0.0,104.7,12.1,14.0,Working Capital Buffer,500000,24,High,Financial Risk
Small business owner,36564.0,24985,225590,9332,22.35,6.1,68.3,25.5,12.1,Home Downpayment,30000,24,Low,Moderately Variable Income
Freelancer,76601.0,20870,66250,23455,16.01,42.1,27.2,30.6,4.2,Business Expansion,100000,24,Low,Stable Income
Seasonal business owner,67165.0,26060,226744,24509,87.82,24.7,38.8,36.5,10.3,Child Education,500000,36,Medium,Highly Variable Income
Self-employed person,21123.0,17083,39234,3513,32.94,2.5,80.9,16.6,2.8,Emergency Fund,50000,24,Medium,Moderately Variable Income
Self-employed person,35399.0,22735,203528,7276,33.55,15.2,64.2,20.6,12.3,Child Education,150000,24,Low,Moderately Variable Income
Consultant,110964.0,32961,219114,32874,11.1,40.7,29.7,29.6,9.6,Child Education,30000,6,Low,Stable Income
Shop owner,42757.0,20112,16578,7396,33.65,35.7,47.0,17.3,1.2,Debt Repayment,75000,6,High,Highly Variable Income
Freelancer,29119.0,23485,45431,3409,38.98,7.6,80.7,11.7,3.0,Child Education,250000,36,Medium,Highly Variable Income
Small business owner,54599.0,21769,9276,0,48.57,60.1,39.9,0.0,0.6,Retirement Reserve,30000,18,High,Financial Risk
Freelancer,61242.0,17655,171560,6582,38.55,60.4,28.8,10.7,12.0,Business Expansion,100000,12,Low,Moderately Variable Income
Daily wage worker,22351.0,15773,154127,0,34.28,29.4,70.6,0.0,14.2,Business Expansion,100000,12,Low,Moderately Variable Income
Freelancer,50174.0,27982,12919,13380,48.27,17.6,55.8,26.7,0.7,Working Capital Buffer,100000,36,High,Financial Risk
Online seller,63345.0,27909,33467,23469,48.9,18.9,44.1,37.0,1.7,Child Education,150000,24,Medium,Moderately Variable Income
Freelancer,41866.0,30952,49699,12456,23.94,0.0,73.9,29.8,2.4,Home Downpayment,100000,36,High,Financial Risk
Seasonal business owner,39194.0,28834,32031,3518,26.08,17.5,73.6,9.0,1.6,Home Downpayment,250000,36,Medium,Moderately Variable Income
Consultant,92039.0,37733,223462,8051,11.15,50.3,41.0,8.7,8.3,Working Capital Buffer,500000,6,Low,Stable Income
Freelancer,33234.0,29030,33731,0,57.31,12.6,87.4,0.0,1.7,Working Capital Buffer,100000,18,High,Highly Variable Income
Freelancer,56202.0,19868,20687,5653,42.41,54.6,35.4,10.1,1.6,Retirement Reserve,50000,18,High,Highly Variable Income
Self-employed person,48859.0,31524,53431,5203,12.91,24.8,64.5,10.6,2.6,Emergency Fund,250000,36,Low,Stable Income
Self-employed person,18795.0,18511,148608,6650,63.09,0.0,98.5,35.4,9.4,Working Capital Buffer,150000,36,High,Financial Risk
Online seller,53517.0,23394,158474,0,23.88,56.3,43.7,0.0,8.0,Retirement Reserve,500000,18,Low,Moderately Variable Income
Self-employed person,37677.0,22253,11783,10041,39.16,14.3,59.1,26.7,0.8,Emergency Fund,100000,24,High,Financial Risk
Gig worker,22474.0,16221,81031,2599,28.11,16.3,72.2,11.6,5.9,Home Downpayment,100000,24,Low,Moderately Variable Income
Consultant,47956.0,39322,277177,11769,43.34,0.0,82.0,24.5,10.1,Business Expansion,100000,18,High,Financial Risk
Consultant,132814.0,35326,114040,28261,30.92,52.1,26.6,21.3,5.0,Home Downpayment,150000,12,Low,Moderately Variable Income
Commission-based worker,22156.0,16497,111437,0,64.7,25.5,74.5,0.0,8.3,Emergency Fund,100000,12,Medium,Highly Variable Income
Online seller,31672.0,26652,97935,3694,51.81,4.2,84.1,11.7,4.9,Child Education,250000,12,Medium,Highly Variable Income
Self-employed person,45763.0,26448,236963,0,30.89,42.2,57.8,0.0,13.8,Emergency Fund,150000,36,Low,Moderately Variable Income
Small business owner,74162.0,22568,25817,14318,14.12,50.3,30.4,19.3,1.5,Home Downpayment,250000,36,Medium,Stable Income
Small business owner,33044.0,24409,180375,9524,21.19,0.0,73.9,28.8,9.6,Working Capital Buffer,150000,18,High,Financial Risk
Shop owner,21945.0,23352,21379,0,36.69,0.0,106.4,0.0,1.4,Business Expansion,150000,6,High,Financial Risk
Small business owner,37028.0,22072,69181,0,59.0,40.4,59.6,0.0,4.7,Working Capital Buffer,500000,24,Medium,Highly Variable Income
Small business owner,35863.0,22263,168387,13814,22.4,0.0,62.1,38.5,9.5,Retirement Reserve,30000,36,High,Financial Risk
Daily wage worker,11980.0,14270,23552,3711,42.71,0.0,119.1,31.0,2.1,Business Expansion,250000,6,High,Financial Risk
Online seller,62971.0,32297,52807,14126,31.68,26.3,51.3,22.4,2.1,Child Education,50000,24,Medium,Moderately Variable Income
Daily wage worker,6138.0,10628,20820,1591,49.67,0.0,173.2,25.9,2.5,Home Downpayment,30000,24,High,Financial Risk
Seasonal business owner,56118.0,33672,63470,11561,68.65,19.4,60.0,20.6,2.7,Business Expansion,250000,24,High,Highly Variable Income
Self-employed person,62984.0,22079,9176,21861,38.78,30.2,35.1,34.7,0.6,Debt Repayment,75000,24,High,Financial Risk
Consultant,95358.0,39642,33445,0,24.1,58.4,41.6,0.0,1.2,Debt Repayment,30000,18,Medium,Moderately Variable Income
Consultant,121246.0,41698,18071,9996,26.25,57.4,34.4,8.2,0.7,Retirement Reserve,75000,12,High,Financial Risk
Small business owner,42618.0,27022,247267,0,29.79,36.6,63.4,0.0,12.8,Retirement Reserve,250000,36,Low,Moderately Variable Income
Consultant,94908.0,31663,66059,0,29.83,66.6,33.4,0.0,2.4,Debt Repayment,250000,12,High,Highly Variable Income
Gig worker,25781.0,18455,89817,5022,28.44,8.9,71.6,19.5,7.5,Retirement Reserve,100000,24,Low,Moderately Variable Income
Online seller,91582.0,34012,31294,0,36.06,62.9,37.1,0.0,1.2,Business Expansion,50000,12,Medium,Moderately Variable Income
Gig worker,29785.0,17711,165205,6071,37.39,20.2,59.5,20.4,13.9,Home Downpayment,100000,12,Low,Moderately Variable Income
Seasonal business owner,36850.0,22317,37711,9712,89.39,13.1,60.6,26.4,2.2,Emergency Fund,500000,12,High,Highly Variable Income
Small business owner,45944.0,19078,113548,4468,52.63,48.8,41.5,9.7,7.5,Business Expansion,75000,24,Medium,Highly Variable Income
Seasonal business owner,34715.0,29961,57273,0,49.05,13.7,86.3,0.0,2.4,Emergency Fund,50000,6,High,Highly Variable Income
Shop owner,45505.0,23500,168477,14941,48.21,15.5,51.6,32.8,9.5,Home Downpayment,30000,12,Medium,Highly Variable Income
Seasonal business owner,48019.0,27684,109615,0,55.13,42.3,57.7,0.0,4.6,Working Capital Buffer,75000,6,Medium,Highly Variable Income
Gig worker,29250.0,14719,91429,0,15.38,49.7,50.3,0.0,8.6,Home Downpayment,50000,12,Low,Stable Income
Gig worker,25431.0,14846,97356,3369,31.44,28.4,58.4,13.2,7.7,Emergency Fund,100000,36,Low,Moderately Variable Income
Small business owner,44678.0,33122,29456,0,50.47,25.9,74.1,0.0,1.3,Child Education,250000,36,High,Highly Variable Income
Commission-based worker,48626.0,22186,9602,14701,22.18,24.1,45.6,30.2,0.5,Retirement Reserve,30000,36,High,Financial Risk
Self-employed person,58308.0,20592,12110,18349,26.88,33.2,35.3,31.5,0.8,Home Downpayment,250000,12,High,Financial Risk
Consultant,63598.0,29891,84938,16238,15.21,27.5,47.0,25.5,3.7,Business Expansion,75000,12,Low,Stable Income
Shop owner,25332.0,20809,163812,0,22.23,17.9,82.1,0.0,10.3,Working Capital Buffer,50000,18,Low,Moderately Variable Income
Gig worker,10400.0,21340,18919,3426,58.03,0.0,205.2,32.9,1.3,Emergency Fund,250000,18,High,Financial Risk
Shop owner,43508.0,17879,9583,7817,30.43,40.9,41.1,18.0,0.8,Child Education,50000,6,High,Financial Risk
Consultant,73886.0,26419,27141,24728,22.53,30.8,35.8,33.5,1.3,Business Expansion,250000,24,Medium,Moderately Variable Income
Small business owner,33939.0,24132,47412,9554,60.39,0.7,71.1,28.2,3.0,Emergency Fund,250000,36,Medium,Highly Variable Income
Seasonal business owner,42684.0,38984,417675,12188,35.04,0.0,91.3,28.6,16.5,Emergency Fund,30000,18,High,Financial Risk
Freelancer,60445.0,17036,14386,19874,34.71,38.9,28.2,32.9,1.1,Retirement Reserve,75000,6,Medium,Moderately Variable Income
Self-employed person,30391.0,16078,18364,10880,35.68,11.3,52.9,35.8,1.3,Home Downpayment,100000,36,High,Highly Variable Income
Small business owner,20689.0,24365,201935,2297,79.95,0.0,117.8,11.1,12.7,Emergency Fund,75000,12,High,Financial Risk
Online seller,106921.0,30639,14464,0,28.63,71.3,28.7,0.0,0.6,Emergency Fund,100000,12,High,Financial Risk
Gig worker,14504.0,20411,62919,3076,33.52,0.0,140.7,21.2,4.4,Debt Repayment,500000,12,High,Financial Risk
Consultant,87616.0,38395,236194,20133,19.61,33.2,43.8,23.0,8.1,Working Capital Buffer,250000,12,Low,Stable Income
Commission-based worker,56648.0,16548,115950,0,50.81,70.8,29.2,0.0,9.8,Home Downpayment,50000,24,Medium,Highly Variable Income
Shop owner,35752.0,21723,63909,0,13.23,39.2,60.8,0.0,3.4,Child Education,75000,36,Low,Stable Income
Gig worker,27531.0,17081,29566,0,20.99,38.0,62.0,0.0,2.5,Working Capital Buffer,250000,24,Low,Stable Income
Shop owner,26792.0,19638,23336,0,66.07,26.7,73.3,0.0,1.7,Child Education,250000,36,High,Highly Variable Income
Commission-based worker,24691.0,18195,16727,6138,38.04,1.4,73.7,24.9,1.2,Business Expansion,100000,6,Medium,Moderately Variable Income
Daily wage worker,13678.0,15407,26729,0,12.36,0.0,112.6,0.0,2.5,Emergency Fund,50000,36,High,Financial Risk
Daily wage worker,17060.0,14686,117463,3130,32.04,0.0,86.1,18.3,11.8,Working Capital Buffer,100000,12,High,Financial Risk
Self-employed person,40499.0,22765,13563,0,70.74,43.8,56.2,0.0,0.8,Business Expansion,50000,36,High,Financial Risk
Daily wage worker,11460.0,12241,5453,1201,33.6,0.0,106.8,10.5,0.7,Retirement Reserve,500000,24,High,Financial Risk
Small business owner,27431.0,19623,8548,9740,62.21,0.0,71.5,35.5,0.5,Debt Repayment,30000,12,High,Financial Risk
Shop owner,41898.0,27093,61617,13471,17.65,3.2,64.7,32.2,3.3,Home Downpayment,50000,18,Low,Stable Income
Seasonal business owner,76944.0,29876,17360,0,41.11,61.2,38.8,0.0,0.7,Home Downpayment,30000,36,High,Financial Risk
Online seller,51529.0,31282,15787,13031,39.67,14.0,60.7,25.3,0.6,Child Education,30000,24,High,Financial Risk
Consultant,70542.0,45032,229476,21372,28.48,5.9,63.8,30.3,7.6,Home Downpayment,100000,36,Low,Moderately Variable Income
Seasonal business owner,35357.0,24986,10736,6265,49.9,11.6,70.7,17.7,0.5,Working Capital Buffer,500000,24,High,Financial Risk
Consultant,99800.0,33377,77749,0,18.27,66.6,33.4,0.0,3.2,Debt Repayment,50000,36,Low,Stable Income
Gig worker,29958.0,21449,36310,8563,43.08,0.0,71.6,28.6,2.6,Child Education,500000,18,High,Financial Risk
Commission-based worker,12531.0,21541,164782,0,83.91,0.0,171.9,0.0,10.6,Emergency Fund,150000,24,High,Financial Risk
Self-employed person,62126.0,23862,20216,0,23.11,61.6,38.4,0.0,1.0,Child Education,50000,18,Medium,Moderately Variable Income
Commission-based worker,19102.0,21882,49263,2953,50.96,0.0,114.6,15.5,3.4,Debt Repayment,150000,18,High,Financial Risk
Small business owner,30069.0,21121,18915,5960,19.93,9.9,70.2,19.8,1.2,Working Capital Buffer,30000,18,Medium,Stable Income
Consultant,76165.0,32624,341622,0,29.96,57.2,42.8,0.0,14.4,Working Capital Buffer,500000,36,Low,Moderately Variable Income
Self-employed person,50905.0,19518,76923,0,21.37,61.7,38.3,0.0,5.4,Home Downpayment,500000,36,Low,Stable Income
Self-employed person,61541.0,23375,68568,18000,52.1,32.8,38.0,29.2,4.0,Debt Repayment,150000,18,Medium,Highly Variable Income
Freelancer,36151.0,26242,214627,0,30.79,27.4,72.6,0.0,12.5,Emergency Fund,30000,18,Medium,Highly Variable Income
Self-employed person,67388.0,19179,80305,0,22.14,71.5,28.5,0.0,6.2,Retirement Reserve,100000,36,Low,Moderately Variable Income
Consultant,69061.0,32036,16314,0,24.18,53.6,46.4,0.0,0.7,Emergency Fund,75000,24,High,Financial Risk
Commission-based worker,38062.0,22731,10059,7134,36.06,21.5,59.7,18.7,0.6,Debt Repayment,75000,18,High,Financial Risk
Freelancer,46836.0,18307,108083,12825,55.03,33.5,39.1,27.4,8.4,Business Expansion,150000,36,Medium,Highly Variable Income
Consultant,93019.0,34066,363529,0,21.86,63.4,36.6,0.0,16.3,Home Downpayment,500000,6,Low,Stable Income
Consultant,48786.0,38582,30975,0,16.21,20.9,79.1,0.0,1.2,Business Expansion,500000,6,Medium,Stable Income
Daily wage worker,18294.0,11642,9659,5281,38.79,7.5,63.6,28.9,1.0,Working Capital Buffer,500000,12,Medium,Moderately Variable Income
Self-employed person,38797.0,20474,23105,0,17.9,47.2,52.8,0.0,1.4,Emergency Fund,50000,36,Medium,Stable Income
Daily wage worker,13420.0,16186,83693,1545,42.24,0.0,120.6,11.5,7.7,Retirement Reserve,250000,18,High,Financial Risk
Shop owner,49574.0,19905,184986,13193,24.49,33.2,40.2,26.6,11.2,Business Expansion,150000,24,Low,Moderately Variable Income
Gig worker,11879.0,13798,121433,4425,15.8,0.0,116.2,37.3,11.2,Retirement Reserve,150000,12,High,Financial Risk
Commission-based worker,35723.0,18284,182264,0,63.57,48.8,51.2,0.0,15.2,Business Expansion,500000,6,Medium,Highly Variable Income
Consultant,100994.0,33041,77692,0,23.12,67.3,32.7,0.0,3.6,Home Downpayment,50000,6,Low,Moderately Variable Income
Seasonal business owner,79134.0,31601,193867,0,36.62,60.1,39.9,0.0,8.7,Business Expansion,50000,24,Low,Moderately Variable Income
Commission-based worker,39658.0,19388,17789,11138,47.9,23.0,48.9,28.1,1.1,Child Education,100000,12,High,Highly Variable Income
Small business owner,37590.0,20566,188125,12263,38.51,12.7,54.7,32.6,10.8,Child Education,250000,18,Low,Moderately Variable Income
Gig worker,13898.0,14788,43416,0,35.62,0.0,106.4,0.0,4.0,Debt Repayment,75000,12,High,Financial Risk
Shop owner,27413.0,23573,55303,9164,23.31,0.0,86.0,33.4,3.3,Business Expansion,500000,12,High,Financial Risk
Seasonal business owner,111334.0,29818,70699,33631,36.16,43.0,26.8,30.2,3.2,Home Downpayment,50000,36,Low,Moderately Variable Income
Self-employed person,45748.0,19715,173483,11863,36.85,31.0,43.1,25.9,12.5,Child Education,150000,12,Medium,Highly Variable Income
Self-employed person,51419.0,18433,9642,5878,23.52,52.7,35.8,11.4,0.7,Debt Repayment,75000,36,High,Financial Risk
Self-employed person,35488.0,19306,43145,0,28.92,45.6,54.4,0.0,3.1,Business Expansion,150000,18,Low,Moderately Variable Income
Gig worker,31000.0,15406,134259,11671,24.23,12.7,49.7,37.6,11.1,Retirement Reserve,250000,24,Low,Moderately Variable Income
Online seller,48460.0,40197,132414,10350,44.01,0.0,82.9,21.4,4.7,Working Capital Buffer,30000,36,High,Financial Risk
Commission-based worker,24296.0,26146,193417,6019,52.93,0.0,107.6,24.8,11.2,Home Downpayment,500000,12,High,Financial Risk
Seasonal business owner,88001.0,27838,99087,32817,74.54,31.1,31.6,37.3,4.7,Business Expansion,250000,36,Medium,Highly Variable Income
Seasonal business owner,80762.0,33936,209590,25088,45.83,26.9,42.0,31.1,8.5,Retirement Reserve,150000,6,Low,Moderately Variable Income
Seasonal business owner,74166.0,33077,297479,15630,31.36,34.3,44.6,21.1,11.5,Working Capital Buffer,30000,36,Low,Moderately Variable Income
Commission-based worker,59757.0,14629,121827,0,45.96,75.5,24.5,0.0,9.7,Retirement Reserve,150000,24,Low,Moderately Variable Income
Small business owner,40700.0,24291,14145,11115,34.27,13.0,59.7,27.3,0.8,Debt Repayment,500000,36,High,Financial Risk
Shop owner,38714.0,28218,33174,0,63.0,27.1,72.9,0.0,1.8,Working Capital Buffer,150000,12,High,Highly Variable Income
Commission-based worker,64164.0,17514,9863,21533,41.95,39.1,27.3,33.6,0.7,Working Capital Buffer,500000,6,High,Financial Risk
Freelancer,98013.0,18816,60398,19942,64.0,60.5,19.2,20.3,4.6,Working Capital Buffer,50000,24,Medium,Highly Variable Income
Self-employed person,22502.0,19360,140241,4545,26.66,0.0,86.0,20.2,10.0,Retirement Reserve,150000,36,High,Financial Risk
Consultant,70344.0,28184,79658,22777,21.11,27.6,40.1,32.4,3.6,Business Expansion,100000,24,Low,Stable Income
Seasonal business owner,27057.0,30280,180077,3873,43.51,0.0,111.9,14.3,7.4,Working Capital Buffer,100000,36,High,Financial Risk
Online seller,65680.0,28487,275363,25071,44.71,18.5,43.4,38.2,14.4,Debt Repayment,100000,18,Medium,Highly Variable Income
Consultant,45226.0,46273,54694,3702,12.05,0.0,102.3,8.2,1.8,Home Downpayment,500000,24,High,Financial Risk
Self-employed person,45847.0,18119,38795,8468,21.3,42.0,39.5,18.5,2.5,Retirement Reserve,250000,18,Low,Stable Income
Freelancer,48323.0,16825,9606,17268,44.84,29.4,34.8,35.7,0.7,Debt Repayment,75000,6,High,Financial Risk
Small business owner,21994.0,34204,176568,5612,24.3,0.0,155.5,25.5,7.7,Working Capital Buffer,100000,24,High,Financial Risk
Freelancer,42540.0,24217,69431,0,46.48,43.1,56.9,0.0,4.3,Emergency Fund,100000,24,Medium,Highly Variable Income
Freelancer,37422.0,22670,149377,12792,51.15,5.2,60.6,34.2,8.1,Home Downpayment,30000,18,Medium,Highly Variable Income
Small business owner,60606.0,24765,12332,10303,63.03,42.1,40.9,17.0,0.7,Debt Repayment,250000,18,High,Financial Risk
Shop owner,21318.0,27014,82256,0,37.23,0.0,126.7,0.0,4.7,Emergency Fund,75000,6,High,Financial Risk
Gig worker,16495.0,12361,27455,5947,68.81,0.0,74.9,36.1,2.8,Retirement Reserve,150000,36,High,Financial Risk
Online seller,101522.0,29558,52473,0,54.32,70.9,29.1,0.0,2.1,Emergency Fund,75000,12,High,Highly Variable Income
Small business owner,18041.0,21086,222457,2776,60.94,0.0,116.9,15.4,12.4,Business Expansion,75000,12,High,Financial Risk
Gig worker,20254.0,21602,107058,0,25.68,0.0,106.7,0.0,7.4,Home Downpayment,500000,18,High,Financial Risk
Daily wage worker,8573.0,13080,107821,2862,42.98,0.0,152.6,33.4,10.8,Retirement Reserve,500000,36,High,Financial Risk
Self-employed person,26445.0,26470,48011,0,54.34,0.0,100.1,0.0,2.7,Working Capital Buffer,50000,6,High,Financial Risk
Shop owner,44060.0,27147,15361,8026,22.78,20.2,61.6,18.2,0.8,Home Downpayment,75000,6,High,Financial Risk
Daily wage worker,17105.0,14055,40443,4000,19.08,0.0,82.2,23.4,3.5,Child Education,250000,6,High,Financial Risk
Self-employed person,35288.0,22155,201866,7059,19.96,17.2,62.8,20.0,11.9,Emergency Fund,100000,12,Low,Stable Income
Freelancer,75890.0,22729,47326,0,69.75,70.1,29.9,0.0,3.1,Child Education,250000,12,Medium,Highly Variable Income
Consultant,82482.0,38027,60989,16764,35.11,33.6,46.1,20.3,2.1,Debt Repayment,150000,18,High,Highly Variable Income
Gig worker,13185.0,12692,6378,1413,36.09,0.0,96.3,10.7,0.6,Working Capital Buffer,30000,18,High,Financial Risk
Online seller,35105.0,37580,116749,4496,66.08,0.0,107.1,12.8,4.3,Emergency Fund,100000,36,High,Financial Risk
Shop owner,17864.0,27788,27579,0,17.33,0.0,155.6,0.0,1.4,Emergency Fund,500000,36,High,Financial Risk
Small business owner,60306.0,33541,36249,12481,18.73,23.7,55.6,20.7,1.6,Child Education,250000,12,Medium,Stable Income
Commission-based worker,67395.0,16985,8909,13785,28.1,54.3,25.2,20.5,0.8,Child Education,50000,36,High,Financial Risk
Seasonal business owner,106936.0,33134,329260,32832,61.7,38.3,31.0,30.7,13.0,Debt Repayment,30000,18,Medium,Highly Variable Income
Daily wage worker,18103.0,10904,25443,5818,49.55,7.6,60.2,32.1,3.5,Retirement Reserve,50000,18,Medium,Highly Variable Income
Commission-based worker,19944.0,21002,63550,7386,39.32,0.0,105.3,37.0,3.7,Child Education,500000,36,High,Financial Risk
Consultant,105865.0,31993,16389,37585,22.22,34.3,30.2,35.5,0.6,Working Capital Buffer,500000,12,High,Financial Risk
Seasonal business owner,52342.0,23884,12493,0,73.31,54.4,45.6,0.0,0.6,Debt Repayment,500000,24,High,Financial Risk
Online seller,43998.0,27688,181666,0,44.4,37.1,62.9,0.0,8.3,Business Expansion,30000,24,Medium,Highly Variable Income
Freelancer,46251.0,28599,26436,16904,69.5,1.6,61.8,36.5,1.4,Home Downpayment,75000,12,High,Highly Variable Income
Consultant,70573.0,28139,13350,13882,13.72,40.5,39.9,19.7,0.6,Debt Repayment,150000,12,High,Financial Risk
Self-employed person,51970.0,20590,126324,13803,45.38,33.8,39.6,26.6,7.9,Child Education,30000,24,Medium,Highly Variable Income
